track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Heaviosity,Stephen Stills,Back in Time,96515,1989-09-19,0,0.678,0.222,10.0,-21.794,1.0,0.951,0.966,0.0,0.126,0.66,88.826,3.0
Late Bloomer,Stephen Stills,Back in Time,105391,1989-09-19,0,0.677,0.2,1.0,-23.702,1.0,0.919,0.968,0.0,0.209,0.402,128.479,3.0
Working with Young,Stephen Stills,Back in Time,135193,1989-09-19,0,0.678,0.167,10.0,-24.478,0.0,0.861,0.985,0.0,0.157,0.434,118.324,3.0
Midnight Rider,Stephen Stills,Cowboys For Indians,240013,1987,0,0.264,0.415,7.0,-15.601,1.0,0.0423,0.861,5.33e-06,0.432,0.627,91.577,4.0
So Begins The Task,Stephen Stills,Cowboys For Indians,233875,1987,0,0.394,0.213,7.0,-17.161,1.0,0.0454,0.856,0.0,0.463,0.624,122.54,3.0
Treetop Flyer,Stephen Stills,Cowboys For Indians,357591,1987,3,0.34,0.26,0.0,-17.636,1.0,0.0408,0.805,2.55e-06,0.429,0.529,169.707,4.0
Southern Cross,Stephen Stills,Cowboys For Indians,309290,1987,0,0.258,0.243,2.0,-17.994,1.0,0.0441,0.78,0.0,0.328,0.412,167.541,4.0
Blind Fiddler,Stephen Stills,Cowboys For Indians,310779,1987,0,0.382,0.233,0.0,-18.442,1.0,0.0325,0.736,9.63e-06,0.188,0.406,80.279,4.0
Love The One You're With,Stephen Stills,Cowboys For Indians,231700,1987,0,0.371,0.319,9.0,-18.392,1.0,0.0436,0.84,0.0,0.895,0.778,186.367,4.0
Native Indian Interlude & Crosby Intro,Stephen Stills,Cowboys For Indians,306486,1987,0,0.479,0.245,7.0,-23.32,1.0,0.499,0.82,0.0,0.602,0.369,106.011,4.0
